_id,title,duration,amount,createdAt,updatedAt,__v
6751bfbcc5d59d7362ec3bcf,OFFICE AUTOMATION,2,150000,2024-12-05T14:59:08.708Z,2024-12-05T14:59:08.708Z,0
6751c058c5d59d7362ec3cc2,JAPA- CYBERSECURITY & DIGITAL FORENSICS,12,2500000,2024-12-05T15:01:44.249Z,2024-12-05T15:01:44.249Z,0
67aca18bb1b0b1ade7c7bef4,DATA VISUALIZATION-Power BI,4,340000,2025-02-12T13:26:35.082Z,2025-02-12T13:26:35.082Z,0
6821d041351cefa793a0ae5d,React,3,350000,2025-05-12T10:41:05.263Z,2025-05-12T10:41:05.263Z,0
68220f3f351cefa793a0bcb7,Software Project Management,2,200000,2025-05-12T15:09:51.302Z,2025-05-12T15:09:51.302Z,0
685000f9de9f9c66a2cafdf4,Web Industrial Training ,3,100000,2025-06-16T11:33:13.077Z,2025-06-16T11:33:13.077Z,0
6850012dde9f9c66a2cafdfa,CEH Industrial Training,4,200000,2025-06-16T11:34:05.843Z,2025-06-16T11:34:05.843Z,0
6850015dde9f9c66a2cafe00,Data Science Industrial Training,4,200000,2025-06-16T11:34:53.774Z,2025-06-16T11:34:53.774Z,0
6867e89dde9f9c66a2cbc1b9,AI/ML,6,650000,2025-07-04T14:43:41.393Z,2025-07-04T14:43:41.393Z,0
686a938cde9f9c66a2cbc4a4,Easy Coding (Summer Class),2,50000,2025-07-06T15:17:32.578Z,2025-07-06T15:17:32.578Z,0
